dataset,dataset_purity,dataset_chance,modality_purity,modality_chance,representation
3D-MR-MS,1.0,0.028797696184305256,0.8316666666666668,0.24400047996160307,handcrafted
BGSP,1.0,0.057835373170146386,1.0,0.5113990880729542,handcrafted
BraTS25-MEN,0.555,0.07199424046076314,0.6503333333333334,0.24400047996160307,handcrafted
BraTS25-MET,0.5960000000000001,0.07199424046076314,0.5956666666666667,0.24400047996160307,handcrafted
BraTS25-SSA,0.5856666666666667,0.07199424046076314,0.6193333333333333,0.24400047996160307,handcrafted
BrainMetShare,0.9763333333333335,0.07199424046076314,0.626,0.33393328533717304,handcrafted
EPISURG,0.8996666666666666,0.07199424046076314,0.943,0.5113990880729542,handcrafted
ISLES22,0.9832,0.059995200383969285,0.9904,0.2056635469162467,handcrafted
IXI,0.973,0.07199424046076314,0.8979999999999999,0.22902167826573872,handcrafted
MS-60,1.0,0.04319654427645788,0.6433333333333333,0.28957683385329175,handcrafted
MSLesSeg,0.9883333333333333,0.07199424046076314,0.7720000000000001,0.28957683385329175,handcrafted
NFBS,0.9944,0.029997600191984643,0.9944,0.5113990880729542,handcrafted
NSK-GBM,1.0,0.040316774658027354,0.9880952380952381,0.24400047996160307,handcrafted
OASIS-1,0.9713333333333333,0.07199424046076314,1.0,0.5113990880729542,handcrafted
OASIS-2,0.9910299003322257,0.07223422126229902,1.0,0.5113990880729542,handcrafted
UMF-PD,0.9975609756097561,0.019678425725941924,0.9975609756097561,0.5113990880729542,handcrafted
UPENN-GBM,0.9923333333333333,0.07199424046076314,0.6066666666666667,0.24400047996160307,handcrafted
3D-MR-MS,1.0,0.028797696184305256,0.825,0.24400047996160307,untrained
BGSP,0.9908713692946058,0.057835373170146386,0.9983402489626556,0.5113990880729542,untrained
BraTS25-MEN,0.643,0.07199424046076314,0.7486666666666667,0.24400047996160307,untrained
BraTS25-MET,0.5833333333333334,0.07199424046076314,0.751,0.24400047996160307,untrained
BraTS25-SSA,0.7936666666666667,0.07199424046076314,0.6656666666666667,0.24400047996160307,untrained
BrainMetShare,0.9893333333333334,0.07199424046076314,0.7323333333333333,0.33393328533717304,untrained
EPISURG,0.9543333333333336,0.07199424046076314,0.9833333333333332,0.5113990880729542,untrained
ISLES22,0.8684,0.059995200383969285,0.9472,0.2056635469162467,untrained
IXI,0.949,0.07199424046076314,0.9676666666666667,0.22902167826573872,untrained
MS-60,0.9988888888888889,0.04319654427645788,0.6227777777777778,0.28957683385329175,untrained
MSLesSeg,0.9736666666666668,0.07199424046076314,0.9283333333333333,0.28957683385329175,untrained
NFBS,0.9992000000000001,0.029997600191984643,0.9992000000000001,0.5113990880729542,untrained
NSK-GBM,0.9535714285714285,0.040316774658027354,0.9642857142857143,0.24400047996160307,untrained
OASIS-1,0.9876666666666665,0.07199424046076314,0.9929999999999999,0.5113990880729542,untrained
OASIS-2,0.950498338870432,0.07223422126229902,0.9724252491694352,0.5113990880729542,untrained
UMF-PD,0.9390243902439024,0.019678425725941924,0.9804878048780487,0.5113990880729542,untrained
UPENN-GBM,0.9536666666666666,0.07199424046076314,0.8843333333333334,0.24400047996160307,untrained
3D-MR-MS,0.9908333333333333,0.028797696184305256,0.8475000000000001,0.24400047996160307,medical
BGSP,0.9979253112033195,0.057835373170146386,1.0,0.5113990880729542,medical
BraTS25-MEN,0.6266666666666667,0.07199424046076314,0.6643333333333333,0.24400047996160307,medical
BraTS25-MET,0.49900000000000005,0.07199424046076314,0.6196666666666667,0.24400047996160307,medical
BraTS25-SSA,0.6223333333333333,0.07199424046076314,0.6643333333333333,0.24400047996160307,medical
BrainMetShare,0.9710000000000001,0.07199424046076314,0.6910000000000001,0.33393328533717304,medical
EPISURG,0.935,0.07199424046076314,0.9766666666666667,0.5113990880729542,medical
ISLES22,0.7344,0.059995200383969285,0.8415999999999999,0.2056635469162467,medical
IXI,0.9736666666666668,0.07199424046076314,0.9816666666666667,0.22902167826573872,medical
MS-60,0.9955555555555555,0.04319654427645788,0.548888888888889,0.28957683385329175,medical
MSLesSeg,0.9596666666666668,0.07199424046076314,0.8673333333333333,0.28957683385329175,medical
NFBS,0.9280000000000002,0.029997600191984643,0.9352,0.5113990880729542,medical
NSK-GBM,0.9958333333333332,0.040316774658027354,0.9827380952380954,0.24400047996160307,medical
OASIS-1,0.9963333333333333,0.07199424046076314,0.9986666666666667,0.5113990880729542,medical
OASIS-2,0.9926910299003323,0.07223422126229902,0.998671096345515,0.5113990880729542,medical
UMF-PD,0.9182926829268292,0.019678425725941924,0.9475609756097562,0.5113990880729542,medical
UPENN-GBM,0.9723333333333335,0.07199424046076314,0.8733333333333333,0.24400047996160307,medical
3D-MR-MS,0.9866666666666667,0.028797696184305256,0.8516666666666668,0.24400047996160307,selfsup
BGSP,0.9892116182572614,0.057835373170146386,0.9995850622406639,0.5113990880729542,selfsup
BraTS25-MEN,0.633,0.07199424046076314,0.7433333333333333,0.24400047996160307,selfsup
BraTS25-MET,0.4903333333333333,0.07199424046076314,0.7756666666666666,0.24400047996160307,selfsup
BraTS25-SSA,0.6606666666666666,0.07199424046076314,0.6566666666666666,0.24400047996160307,selfsup
BrainMetShare,0.9916666666666667,0.07199424046076314,0.7783333333333334,0.33393328533717304,selfsup
EPISURG,0.9073333333333334,0.07199424046076314,0.9646666666666668,0.5113990880729542,selfsup
ISLES22,0.886,0.059995200383969285,0.9624000000000001,0.2056635469162467,selfsup
IXI,0.8403333333333334,0.07199424046076314,0.8876666666666667,0.22902167826573872,selfsup
MS-60,0.9983333333333333,0.04319654427645788,0.6472222222222223,0.28957683385329175,selfsup
MSLesSeg,0.965,0.07199424046076314,0.9493333333333331,0.28957683385329175,selfsup
NFBS,1.0,0.029997600191984643,1.0,0.5113990880729542,selfsup
NSK-GBM,0.9232142857142857,0.040316774658027354,0.8166666666666668,0.24400047996160307,selfsup
OASIS-1,0.9993333333333334,0.07199424046076314,0.9993333333333334,0.5113990880729542,selfsup
OASIS-2,0.966112956810631,0.07223422126229902,0.9880398671096347,0.5113990880729542,selfsup
UMF-PD,0.876829268292683,0.019678425725941924,0.9536585365853659,0.5113990880729542,selfsup
UPENN-GBM,0.7703333333333334,0.07199424046076314,0.7246666666666667,0.24400047996160307,selfsup
3D-MR-MS,0.6083333333333333,0.028797696184305256,0.6591666666666666,0.24400047996160307,brainiac
BGSP,0.9863070539419087,0.057835373170146386,0.9970954356846473,0.5113990880729542,brainiac
BraTS25-MEN,0.4196666666666667,0.07199424046076314,0.6553333333333334,0.24400047996160307,brainiac
BraTS25-MET,0.39599999999999996,0.07199424046076314,0.6473333333333333,0.24400047996160307,brainiac
BraTS25-SSA,0.4873333333333333,0.07199424046076314,0.5796666666666667,0.24400047996160307,brainiac
BrainMetShare,0.768,0.07199424046076314,0.5756666666666668,0.33393328533717304,brainiac
EPISURG,0.7256666666666667,0.07199424046076314,0.8873333333333333,0.5113990880729542,brainiac
ISLES22,0.6532,0.059995200383969285,0.8352,0.2056635469162467,brainiac
IXI,0.7273333333333334,0.07199424046076314,0.8076666666666668,0.22902167826573872,brainiac
MS-60,0.9938888888888889,0.04319654427645788,0.505,0.28957683385329175,brainiac
MSLesSeg,0.85,0.07199424046076314,0.8636666666666667,0.28957683385329175,brainiac
NFBS,0.9640000000000001,0.029997600191984643,0.9928,0.5113990880729542,brainiac
NSK-GBM,0.7285714285714286,0.040316774658027354,0.7386904761904762,0.24400047996160307,brainiac
OASIS-1,0.8426666666666667,0.07199424046076314,0.8983333333333333,0.5113990880729542,brainiac
OASIS-2,0.9122923588039867,0.07223422126229902,0.9521594684385383,0.5113990880729542,brainiac
UMF-PD,0.8097560975609757,0.019678425725941924,0.926829268292683,0.5113990880729542,brainiac
UPENN-GBM,0.7930000000000001,0.07199424046076314,0.662,0.24400047996160307,brainiac
3D-MR-MS,1.0,0.028797696184305256,0.9291666666666667,0.24400047996160307,3dino
BGSP,1.0,0.057835373170146386,1.0,0.5113990880729542,3dino
BraTS25-MEN,0.515,0.07199424046076314,0.895,0.24400047996160307,3dino
BraTS25-MET,0.545,0.07199424046076314,0.8916666666666668,0.24400047996160307,3dino
BraTS25-SSA,0.777,0.07199424046076314,0.8006666666666666,0.24400047996160307,3dino
BrainMetShare,0.9610000000000002,0.07199424046076314,0.7786666666666667,0.33393328533717304,3dino
EPISURG,0.98,0.07199424046076314,0.9983333333333333,0.5113990880729542,3dino
ISLES22,0.8732000000000001,0.059995200383969285,0.9816,0.2056635469162467,3dino
IXI,1.0,0.07199424046076314,1.0,0.22902167826573872,3dino
MS-60,1.0,0.04319654427645788,0.6533333333333333,0.28957683385329175,3dino
MSLesSeg,0.9610000000000001,0.07199424046076314,0.9760000000000002,0.28957683385329175,3dino
NFBS,1.0,0.029997600191984643,1.0,0.5113990880729542,3dino
NSK-GBM,1.0,0.040316774658027354,0.9988095238095239,0.24400047996160307,3dino
OASIS-1,0.9976666666666667,0.07199424046076314,1.0,0.5113990880729542,3dino
OASIS-2,0.9976744186046512,0.07223422126229902,1.0,0.5113990880729542,3dino
UMF-PD,0.9890243902439023,0.019678425725941924,0.9987804878048782,0.5113990880729542,3dino
UPENN-GBM,0.9859999999999999,0.07199424046076314,0.965,0.24400047996160307,3dino
3D-MR-MS,0.9541666666666668,0.028797696184305256,0.6941666666666667,0.24400047996160307,brainfm
BGSP,0.9771784232365145,0.057835373170146386,0.995850622406639,0.5113990880729542,brainfm
BraTS25-MEN,0.594,0.07199424046076314,0.7436666666666667,0.24400047996160307,brainfm
BraTS25-MET,0.5416666666666666,0.07199424046076314,0.7406666666666667,0.24400047996160307,brainfm
BraTS25-SSA,0.802,0.07199424046076314,0.6076666666666667,0.24400047996160307,brainfm
BrainMetShare,1.0,0.07199424046076314,0.6966666666666667,0.33393328533717304,brainfm
EPISURG,0.9266666666666666,0.07199424046076314,0.9766666666666667,0.5113990880729542,brainfm
ISLES22,0.8543999999999999,0.059995200383969285,0.934,0.2056635469162467,brainfm
IXI,0.9563333333333333,0.07199424046076314,0.9840000000000001,0.22902167826573872,brainfm
MS-60,1.0,0.04319654427645788,0.5361111111111111,0.28957683385329175,brainfm
MSLesSeg,0.986,0.07199424046076314,0.9373333333333335,0.28957683385329175,brainfm
NFBS,0.9672,0.029997600191984643,0.9695999999999999,0.5113990880729542,brainfm
NSK-GBM,0.9803571428571429,0.040316774658027354,0.875,0.24400047996160307,brainfm
OASIS-1,0.9953333333333334,0.07199424046076314,0.9970000000000001,0.5113990880729542,brainfm
OASIS-2,0.9873754152823921,0.07223422126229902,0.9966777408637874,0.5113990880729542,brainfm
UMF-PD,0.8121951219512195,0.019678425725941924,0.9439024390243903,0.5113990880729542,brainfm
UPENN-GBM,0.9920000000000001,0.07199424046076314,0.8663333333333333,0.24400047996160307,brainfm
3D-MR-MS,0.3616666666666667,0.028797696184305256,0.4216666666666667,0.24400047996160307,3dino_rand
BGSP,0.9448132780082988,0.057835373170146386,0.9838174273858922,0.5113990880729542,3dino_rand
BraTS25-MEN,0.4646666666666666,0.07199424046076314,0.718,0.24400047996160307,3dino_rand
BraTS25-MET,0.37533333333333335,0.07199424046076314,0.6176666666666667,0.24400047996160307,3dino_rand
BraTS25-SSA,0.6256666666666666,0.07199424046076314,0.565,0.24400047996160307,3dino_rand
