source,target,accuracy,representation
NSK-GBM,MSLesSeg,0.016666666666666666,R3
NSK-GBM,NFBS,0.0,R3
NSK-GBM,NSK-GBM,1.0,R3
NSK-GBM,OASIS-1,0.8133333333333334,R3
NSK-GBM,OASIS-2,0.0,R3
NSK-GBM,UMF-PD,0.5975609756097561,R3
NSK-GBM,UPENN-GBM,0.31666666666666665,R3
UPENN-GBM,3D-MR-MS,0.5083333333333333,R3
UPENN-GBM,BGSP,0.950207468879668,R3
UPENN-GBM,BraTS25-MEN,0.25,R3
UPENN-GBM,BraTS25-MET,0.24333333333333335,R3
UPENN-GBM,BraTS25-SSA,0.25,R3
UPENN-GBM,BrainMetShare,0.5,R3
UPENN-GBM,EPISURG,0.75,R3
UPENN-GBM,ISLES22,0.0,R3
UPENN-GBM,IXI,0.755,R3
UPENN-GBM,MS-60,0.2388888888888889,R3
UPENN-GBM,MSLesSeg,0.2866666666666667,R3
UPENN-GBM,NFBS,1.0,R3
UPENN-GBM,NSK-GBM,0.10714285714285714,R3
UPENN-GBM,OASIS-1,0.07666666666666666,R3
UPENN-GBM,OASIS-2,0.21926910299003322,R3
UPENN-GBM,UMF-PD,0.4024390243902439,R3
UPENN-GBM,UPENN-GBM,1.0,R3
