dataset,n,bacc,representation,task,setting,mae,mae_mean_baseline,pearson_r
MSLesSeg,300,0.5347222222222222,medical,sex,lodo,,,
NSK-GBM,168,0.6556064073226544,medical,sex,lodo,,,
OASIS-1,300,0.5186950146627566,medical,sex,lodo,,,
OASIS-2,301,0.5857988165680473,medical,sex,lodo,,,
UMF-PD,82,0.8809808612440191,medical,sex,lodo,,,
UPENN-GBM,300,0.8553571428571429,medical,sex,lodo,,,
3D-MR-MS,120,0.8027950310559007,medical,sex,within,,,
ISLES22,144,0.79375,medical,sex,within,,,
IXI,294,0.862719298245614,medical,sex,within,,,
MS-60,177,0.600613154960981,medical,sex,within,,,
MSLesSeg,300,0.6125,medical,sex,within,,,
NSK-GBM,168,0.8034897025171626,medical,sex,within,,,
OASIS-1,300,0.8653775659824048,medical,sex,within,,,
OASIS-2,301,0.9308768154922,medical,sex,within,,,
UMF-PD,82,0.8791866028708134,medical,sex,within,,,
UPENN-GBM,300,0.9116071428571428,medical,sex,within,,,
3D-MR-MS,120,,medical,age,lodo,24.32449206345099,16.442716097560975,-0.10017338358275989
ISLES22,125,,medical,age,lodo,34.25665398489902,21.12385901222495,0.6911866897367565
IXI,294,,medical,age,lodo,15.741246408651172,13.788053609503503,0.29064248159754963
MS-60,180,,medical,age,lodo,48.116458760084626,22.97570083752093,-0.10220048183176096
MSLesSeg,300,,medical,age,lodo,24.18310596255204,20.821301604278077,0.20499966162813407
NSK-GBM,168,,medical,age,lodo,13.10913067298787,12.01483326197612,0.2038443965884804
OASIS-1,300,,medical,age,lodo,21.37070927334987,23.246006559714793,0.4476239596149336
OASIS-2,301,,medical,age,lodo,15.564722568752892,27.83769731357398,0.1748082457592708
UMF-PD,82,,medical,age,lodo,20.69622836257712,13.804784365947102,0.33647300823040904
UPENN-GBM,300,,medical,age,lodo,11.050511469287796,11.930164848484852,0.21230134935703987
3D-MR-MS,120,,medical,age,within,9.478154490596433,7.563888888888889,0.2374304604696005
ISLES22,125,,medical,age,within,7.010996094131301,10.76864,0.7025606547390966
IXI,294,,medical,age,within,11.576120866169605,14.195356000238458,0.44756475505109666
MS-60,180,,medical,age,within,10.999974860805422,10.461805555555555,-0.1491747531706052
MSLesSeg,300,,medical,age,within,7.323317049613153,7.8771675000000005,0.3990238637074006
NSK-GBM,168,,medical,age,within,11.209378094133566,12.182539682539684,0.3860886953527465
OASIS-1,300,,medical,age,within,9.64142607335723,23.3385,0.8759589103663673
OASIS-2,301,,medical,age,within,5.169957643542178,6.227573052351548,0.5351428803804564
UMF-PD,82,,medical,age,within,5.101495352216456,7.04965034965035,0.6754422160226935
UPENN-GBM,300,,medical,age,within,9.004612613864461,9.259733333333333,0.26308411529795694
3D-MR-MS,120,0.5419254658385093,selfsup,sex,lodo,,,
ISLES22,144,0.515625,selfsup,sex,lodo,,,
IXI,294,0.6615497076023392,selfsup,sex,lodo,,,
MS-60,177,0.5785953177257526,selfsup,sex,lodo,,,
MSLesSeg,300,0.5805555555555555,selfsup,sex,lodo,,,
NSK-GBM,168,0.6172768878718535,selfsup,sex,lodo,,,
OASIS-1,300,0.48597873900293254,selfsup,sex,lodo,,,
OASIS-2,301,0.6906490944952484,selfsup,sex,lodo,,,
UMF-PD,82,0.6572966507177034,selfsup,sex,lodo,,,
UPENN-GBM,300,0.6495535714285714,selfsup,sex,lodo,,,
3D-MR-MS,120,0.7437888198757764,selfsup,sex,within,,,
ISLES22,144,0.703125,selfsup,sex,within,,,
IXI,294,0.7125730994152046,selfsup,sex,within,,,
MS-60,177,0.6769788182831661,selfsup,sex,within,,,
MSLesSeg,300,0.6055555555555556,selfsup,sex,within,,,
NSK-GBM,168,0.7542906178489702,selfsup,sex,within,,,
OASIS-1,300,0.8532807917888563,selfsup,sex,within,,,
OASIS-2,301,0.8912273623812086,selfsup,sex,within,,,
UMF-PD,82,0.777511961722488,selfsup,sex,within,,,
UPENN-GBM,300,0.73125,selfsup,sex,within,,,
3D-MR-MS,120,,selfsup,age,lodo,19.267640594841495,16.442716097560975,0.017632579026644418
ISLES22,125,,selfsup,age,lodo,38.817404250758656,21.12385901222495,0.3908659305159592
IXI,294,,selfsup,age,lodo,20.217550639458917,13.788053609503503,0.2847288541780202
MS-60,180,,selfsup,age,lodo,32.45427607582939,22.97570083752093,-0.03708436445532812
MSLesSeg,300,,selfsup,age,lodo,24.827040806758397,20.821301604278077,-0.2522509135214535
NSK-GBM,168,,selfsup,age,lodo,13.472127988003232,12.01483326197612,0.158984205927482
OASIS-1,300,,selfsup,age,lodo,24.071810679291467,23.246006559714793,-0.025096261373385782
OASIS-2,301,,selfsup,age,lodo,18.950551608528016,27.83769731357398,0.09034791275463468
UMF-PD,82,,selfsup,age,lodo,12.048117818144975,13.804784365947102,0.20225909114378973
UPENN-GBM,300,,selfsup,age,lodo,16.319910779274974,11.930164848484852,-0.00843137072705252
3D-MR-MS,120,,selfsup,age,within,8.917269497273548,7.563888888888889,0.043602389585925536
ISLES22,125,,selfsup,age,within,6.818168031758604,10.76864,0.7472901304628559
IXI,294,,selfsup,age,within,11.963454084712561,14.195356000238458,0.3898637825740414
MS-60,180,,selfsup,age,within,10.36127149117824,10.461805555555555,0.10303828252839962
MSLesSeg,300,,selfsup,age,within,7.5879456199944295,7.8771675000000005,0.31335486700369886
NSK-GBM,168,,selfsup,age,within,10.660648241673456,12.182539682539684,0.4786604471265135
OASIS-1,300,,selfsup,age,within,10.081225135450262,23.3385,0.8615165076034403
OASIS-2,301,,selfsup,age,within,5.647902444932327,6.227573052351548,0.3780973919437553
UMF-PD,82,,selfsup,age,within,5.094185836991447,7.04965034965035,0.6888429666343345
UPENN-GBM,300,,selfsup,age,within,8.909772549234855,9.259733333333333,0.3085056346063551
3D-MR-MS,120,0.5892857142857143,brainiac,sex,lodo,,,
ISLES22,144,0.4484375,brainiac,sex,lodo,,,
IXI,294,0.5447368421052632,brainiac,sex,lodo,,,
MS-60,177,0.5008361204013378,brainiac,sex,lodo,,,
MSLesSeg,300,0.5055555555555555,brainiac,sex,lodo,,,
NSK-GBM,168,0.5489130434782609,brainiac,sex,lodo,,,
OASIS-1,300,0.4903775659824047,brainiac,sex,lodo,,,
OASIS-2,301,0.6063295678680294,brainiac,sex,lodo,,,
UMF-PD,82,0.5083732057416268,brainiac,sex,lodo,,,
UPENN-GBM,300,0.6620535714285715,brainiac,sex,lodo,,,
3D-MR-MS,120,0.5683229813664596,brainiac,sex,within,,,
ISLES22,144,0.5875,brainiac,sex,within,,,
IXI,294,0.683625730994152,brainiac,sex,within,,,
MS-60,177,0.5487736900780379,brainiac,sex,within,,,
MSLesSeg,300,0.6194444444444445,brainiac,sex,within,,,
NSK-GBM,168,0.5926773455377574,brainiac,sex,within,,,
OASIS-1,300,0.6971224340175952,brainiac,sex,within,,,
OASIS-2,301,0.7638739465662543,brainiac,sex,within,,,
UMF-PD,82,0.7266746411483254,brainiac,sex,within,,,
UPENN-GBM,300,0.7517857142857143,brainiac,sex,within,,,
3D-MR-MS,120,,brainiac,age,lodo,12.225482073154124,16.442716097560975,-0.014922271761730777
ISLES22,125,,brainiac,age,lodo,28.559212293786448,21.12385901222495,0.42914162214389817
IXI,294,,brainiac,age,lodo,15.131886379330119,13.788053609503503,0.27990792124554914
MS-60,180,,brainiac,age,lodo,14.135568683520404,22.97570083752093,0.05492404656865866
MSLesSeg,300,,brainiac,age,lodo,18.972669153301503,20.821301604278077,0.17804158042671464
NSK-GBM,168,,brainiac,age,lodo,13.181700844266228,12.01483326197612,0.11970702121625507
OASIS-1,300,,brainiac,age,lodo,23.15643668023777,23.246006559714793,0.3497496704060001
OASIS-2,301,,brainiac,age,lodo,10.22491249854356,27.83769731357398,0.06301944896609704
UMF-PD,82,,brainiac,age,lodo,10.798048045041927,13.804784365947102,0.0661469746942672
UPENN-GBM,300,,brainiac,age,lodo,11.984965335143974,11.930164848484852,0.02907093928784211
3D-MR-MS,120,,brainiac,age,within,7.721915635990063,7.563888888888889,-0.3602523937563788
ISLES22,125,,brainiac,age,within,8.453675603291307,10.76864,0.5791293909887005
IXI,294,,brainiac,age,within,13.185770540362569,14.195356000238458,0.26171059671545277
MS-60,180,,brainiac,age,within,10.447694620840002,10.461805555555555,0.06365153449575171
MSLesSeg,300,,brainiac,age,within,7.550758251124072,7.8771675000000005,0.3180419955711096
NSK-GBM,168,,brainiac,age,within,12.33026923116009,12.182539682539684,0.09637210699426543
OASIS-1,300,,brainiac,age,within,15.494855454618762,23.3385,0.6558611689361752
OASIS-2,301,,brainiac,age,within,6.092565041529601,6.227573052351548,0.2521637184486826
UMF-PD,82,,brainiac,age,within,7.044219162493686,7.04965034965035,0.08481054702927125
UPENN-GBM,300,,brainiac,age,within,9.11446110066983,9.259733333333333,0.19553423578273144
3D-MR-MS,120,0.6086956521739131,3dino,sex,lodo,,,
ISLES22,144,0.6390625,3dino,sex,lodo,,,
IXI,294,0.75453216374269,3dino,sex,lodo,,,
MS-60,177,0.5287068004459309,3dino,sex,lodo,,,
MSLesSeg,300,0.5736111111111111,3dino,sex,lodo,,,
NSK-GBM,168,0.6627574370709381,3dino,sex,lodo,,,
OASIS-1,300,0.7054618768328446,3dino,sex,lodo,,,
OASIS-2,301,0.7740720817643895,3dino,sex,lodo,,,
UMF-PD,82,0.638755980861244,3dino,sex,lodo,,,
UPENN-GBM,300,0.6129464285714286,3dino,sex,lodo,,,
3D-MR-MS,120,0.7173913043478262,3dino,sex,within,,,
ISLES22,144,0.684375,3dino,sex,within,,,
IXI,294,0.7763157894736843,3dino,sex,within,,,
MS-60,177,0.6931438127090301,3dino,sex,within,,,
MSLesSeg,300,0.7305555555555556,3dino,sex,within,,,
NSK-GBM,168,0.7136727688787186,3dino,sex,within,,,
OASIS-1,300,0.8819648093841642,3dino,sex,within,,,
OASIS-2,301,0.9009324009324009,3dino,sex,within,,,
UMF-PD,82,0.8415071770334928,3dino,sex,within,,,
UPENN-GBM,300,0.7709821428571428,3dino,sex,within,,,
3D-MR-MS,120,,3dino,age,lodo,24.422681205668436,16.442716097560975,0.10548901294372938
ISLES22,125,,3dino,age,lodo,30.01855275743864,21.12385901222495,0.2893190563977638
IXI,294,,3dino,age,lodo,13.95668645870227,13.788053609503503,0.29005661819767764
MS-60,180,,3dino,age,lodo,17.748127205645805,22.97570083752093,0.005444516224533971
MSLesSeg,300,,3dino,age,lodo,22.749127008239352,20.821301604278077,0.12651011535458215
NSK-GBM,168,,3dino,age,lodo,12.405651355256659,12.01483326197612,0.25530798827040335
OASIS-1,300,,3dino,age,lodo,19.573303008388855,23.246006559714793,0.6912847779384068
OASIS-2,301,,3dino,age,lodo,7.065228256595144,27.83769731357398,0.3801966034287884
