dataset,n,bacc,representation,task,setting,mae,mae_mean_baseline,pearson_r
NSK-GBM,168,0.7388443935926774,untrained_pct,sex,lodo,,,
OASIS-1,300,0.6636730205278593,untrained_pct,sex,lodo,,,
OASIS-2,301,0.7621256948180025,untrained_pct,sex,lodo,,,
UMF-PD,82,0.7649521531100478,untrained_pct,sex,lodo,,,
UPENN-GBM,300,0.7834821428571428,untrained_pct,sex,lodo,,,
3D-MR-MS,120,0.7204968944099379,untrained_pct,sex,within,,,
ISLES22,144,0.7453125,untrained_pct,sex,within,,,
IXI,294,0.8456140350877193,untrained_pct,sex,within,,,
MS-60,177,0.7460981047937569,untrained_pct,sex,within,,,
MSLesSeg,300,0.601388888888889,untrained_pct,sex,within,,,
NSK-GBM,168,0.7651601830663615,untrained_pct,sex,within,,,
OASIS-1,300,0.8848057184750733,untrained_pct,sex,within,,,
OASIS-2,301,0.9211717769410077,untrained_pct,sex,within,,,
UMF-PD,82,0.950956937799043,untrained_pct,sex,within,,,
UPENN-GBM,300,0.8464285714285714,untrained_pct,sex,within,,,
3D-MR-MS,120,,untrained_pct,age,lodo,26.34257783244677,16.442716097560975,-0.0974601675419078
ISLES22,125,,untrained_pct,age,lodo,28.837212720427985,21.12385901222495,-0.1602810107649868
IXI,294,,untrained_pct,age,lodo,15.635504922107684,13.788053609503503,0.1928480248077844
MS-60,180,,untrained_pct,age,lodo,16.134271554790992,22.97570083752093,-0.08411639150533638
MSLesSeg,300,,untrained_pct,age,lodo,18.733618335339276,20.821301604278077,0.18152554284978561
NSK-GBM,168,,untrained_pct,age,lodo,14.92291353641036,12.01483326197612,0.10085524686771806
OASIS-1,300,,untrained_pct,age,lodo,22.57512824087668,23.246006559714793,0.2519576599205399
OASIS-2,301,,untrained_pct,age,lodo,16.660631928207778,27.83769731357398,0.11506472319206172
UMF-PD,82,,untrained_pct,age,lodo,14.466161398869788,13.804784365947102,0.30796083205948277
UPENN-GBM,300,,untrained_pct,age,lodo,13.212077029674413,11.930164848484852,0.22042766137065256
3D-MR-MS,120,,untrained_pct,age,within,8.070167001713328,7.563888888888889,0.307955545827408
ISLES22,125,,untrained_pct,age,within,7.371645669019134,10.76864,0.6805191984779225
IXI,294,,untrained_pct,age,within,10.686907693183274,14.195356000238458,0.5259257692242696
MS-60,180,,untrained_pct,age,within,11.599874057887652,10.461805555555555,-0.09949919208802609
MSLesSeg,300,,untrained_pct,age,within,7.5390671648279435,7.8771675000000005,0.3425204315411018
NSK-GBM,168,,untrained_pct,age,within,10.317279169870416,12.182539682539684,0.47629783576025475
OASIS-1,300,,untrained_pct,age,within,9.485067054799616,23.3385,0.8801743592327412
OASIS-2,301,,untrained_pct,age,within,5.268215801692397,6.227573052351548,0.537472439615156
UMF-PD,82,,untrained_pct,age,within,5.2536055807502455,7.04965034965035,0.6794449672137298
UPENN-GBM,300,,untrained_pct,age,within,8.97859667900322,9.259733333333333,0.30499098675999076
3D-MR-MS,120,0.6211180124223603,medical_pct,sex,lodo,,,
ISLES22,144,0.5234375,medical_pct,sex,lodo,,,
IXI,294,0.7431286549707603,medical_pct,sex,lodo,,,
MS-60,177,0.5861204013377926,medical_pct,sex,lodo,,,
MSLesSeg,300,0.4986111111111111,medical_pct,sex,lodo,,,
NSK-GBM,168,0.6896453089244852,medical_pct,sex,lodo,,,
OASIS-1,300,0.6034640762463344,medical_pct,sex,lodo,,,
OASIS-2,301,0.7900528958221267,medical_pct,sex,lodo,,,
UMF-PD,82,0.9210526315789473,medical_pct,sex,lodo,,,
UPENN-GBM,300,0.6151785714285715,medical_pct,sex,lodo,,,
3D-MR-MS,120,0.7756211180124224,medical_pct,sex,within,,,
ISLES22,144,0.7375,medical_pct,sex,within,,,
IXI,294,0.8587719298245614,medical_pct,sex,within,,,
MS-60,177,0.7736900780379041,medical_pct,sex,within,,,
MSLesSeg,300,0.7069444444444445,medical_pct,sex,within,,,
NSK-GBM,168,0.8000572082379863,medical_pct,sex,within,,,
OASIS-1,300,0.8601539589442815,medical_pct,sex,within,,,
OASIS-2,301,0.9025909987448448,medical_pct,sex,within,,,
UMF-PD,82,0.9132775119617225,medical_pct,sex,within,,,
UPENN-GBM,300,0.8785714285714286,medical_pct,sex,within,,,
3D-MR-MS,120,,medical_pct,age,lodo,22.97711919087504,16.442716097560975,-0.10604336490794533
ISLES22,125,,medical_pct,age,lodo,31.320791016958257,21.12385901222495,0.36109123726723247
IXI,294,,medical_pct,age,lodo,14.30326345270841,13.788053609503503,0.21778884592560907
MS-60,180,,medical_pct,age,lodo,31.8133311531463,22.97570083752093,-0.09043584783695519
MSLesSeg,300,,medical_pct,age,lodo,22.211211255291303,20.821301604278077,0.20878847106603154
NSK-GBM,168,,medical_pct,age,lodo,12.720917005874385,12.01483326197612,0.16911519735131647
OASIS-1,300,,medical_pct,age,lodo,24.37028644010553,23.246006559714793,0.06076338883201282
OASIS-2,301,,medical_pct,age,lodo,13.892444473507044,27.83769731357398,0.1928286723477645
UMF-PD,82,,medical_pct,age,lodo,16.215699472002502,13.804784365947102,0.26266419177953226
UPENN-GBM,300,,medical_pct,age,lodo,16.195823901914306,11.930164848484852,0.2613076425520449
3D-MR-MS,120,,medical_pct,age,within,7.800059409897433,7.563888888888889,0.43042426046476573
ISLES22,125,,medical_pct,age,within,6.7616282708340325,10.76864,0.7393737962928992
IXI,294,,medical_pct,age,within,11.406220404500612,14.195356000238458,0.44444333202724917
MS-60,180,,medical_pct,age,within,10.967313087653086,10.461805555555555,0.013340911156388247
MSLesSeg,300,,medical_pct,age,within,7.507954905931318,7.8771675000000005,0.4024983961248311
NSK-GBM,168,,medical_pct,age,within,12.61084877043625,12.182539682539684,0.23745323195505202
OASIS-1,300,,medical_pct,age,within,9.737879554604076,23.3385,0.878766624995565
OASIS-2,301,,medical_pct,age,within,5.05292489040985,6.227573052351548,0.5830668423052776
UMF-PD,82,,medical_pct,age,within,5.016030990386981,7.04965034965035,0.6942267125713069
UPENN-GBM,300,,medical_pct,age,within,8.650194607935683,9.259733333333333,0.4105767226660296
