representation,dataset_a,dataset_b,distance
handcrafted,BrainMetShare,EPISURG,0.5804817954642258
handcrafted,BrainMetShare,ISLES22,1.1179485229096375
handcrafted,BrainMetShare,IXI,0.7663771381128562
handcrafted,BrainMetShare,MS-60,0.7072232385784801
handcrafted,BrainMetShare,MSLesSeg,0.3165321531861451
handcrafted,BrainMetShare,NFBS,0.5020463524841996
handcrafted,BrainMetShare,NSK-GBM,1.8174273486221635
handcrafted,BrainMetShare,OASIS-1,0.4504466185303979
handcrafted,BrainMetShare,OASIS-2,0.9141733396385576
handcrafted,BrainMetShare,UMF-PD,0.5091637920191122
handcrafted,BrainMetShare,UPENN-GBM,0.7608939942428431
handcrafted,EPISURG,3D-MR-MS,1.4953215475411832
handcrafted,EPISURG,BGSP,0.6582658448851122
handcrafted,EPISURG,BraTS25-MEN,0.7000734942663683
handcrafted,EPISURG,BraTS25-MET,0.763587118765536
handcrafted,EPISURG,BraTS25-SSA,0.6338841813372191
handcrafted,EPISURG,BrainMetShare,0.5804817954642258
handcrafted,EPISURG,EPISURG,0.0
handcrafted,EPISURG,ISLES22,1.290983781548832
handcrafted,EPISURG,IXI,0.31232734502994935
handcrafted,EPISURG,MS-60,0.7273226069698876
handcrafted,EPISURG,MSLesSeg,0.5950569494296811
handcrafted,EPISURG,NFBS,0.8394981962736908
handcrafted,EPISURG,NSK-GBM,1.73818307609539
handcrafted,EPISURG,OASIS-1,0.45826732156743055
handcrafted,EPISURG,OASIS-2,0.4489531269850929
handcrafted,EPISURG,UMF-PD,0.4560708135473726
handcrafted,EPISURG,UPENN-GBM,0.2650160461459631
handcrafted,ISLES22,3D-MR-MS,1.4637349942537132
handcrafted,ISLES22,BGSP,1.7716039609265706
handcrafted,ISLES22,BraTS25-MEN,1.2956906339330176
handcrafted,ISLES22,BraTS25-MET,0.8523735394254786
handcrafted,ISLES22,BraTS25-SSA,1.2093205381563132
handcrafted,ISLES22,BrainMetShare,1.1179485229096375
handcrafted,ISLES22,EPISURG,1.290983781548832
handcrafted,ISLES22,ISLES22,0.0
handcrafted,ISLES22,IXI,1.3571801926403386
handcrafted,ISLES22,MS-60,1.3398242177822757
handcrafted,ISLES22,MSLesSeg,1.2799773254392863
handcrafted,ISLES22,NFBS,1.1834947334813641
handcrafted,ISLES22,NSK-GBM,1.743224179158678
handcrafted,ISLES22,OASIS-1,1.2077026047539867
handcrafted,ISLES22,OASIS-2,1.525951290010055
handcrafted,ISLES22,UMF-PD,1.3481931500799818
handcrafted,ISLES22,UPENN-GBM,1.4989462854632432
handcrafted,IXI,3D-MR-MS,1.644592939923726
handcrafted,IXI,BGSP,0.638349023849022
handcrafted,IXI,BraTS25-MEN,0.8991336339509571
handcrafted,IXI,BraTS25-MET,0.9409150120030334
handcrafted,IXI,BraTS25-SSA,0.8190076857276506
handcrafted,IXI,BrainMetShare,0.7663771381128562
handcrafted,IXI,EPISURG,0.31232734502994935
handcrafted,IXI,ISLES22,1.3571801926403386
handcrafted,IXI,IXI,0.0
handcrafted,IXI,MS-60,0.7899492217075383
handcrafted,IXI,MSLesSeg,0.7906042910335551
handcrafted,IXI,NFBS,1.0143074369572478
handcrafted,IXI,NSK-GBM,1.8305590018056883
handcrafted,IXI,OASIS-1,0.6480054867827059
handcrafted,IXI,OASIS-2,0.5198146889187999
handcrafted,IXI,UMF-PD,0.6212409706411469
handcrafted,IXI,UPENN-GBM,0.28194846051239025
handcrafted,MS-60,3D-MR-MS,1.7993510325936375
handcrafted,MS-60,BGSP,1.0978977903211289
handcrafted,MS-60,BraTS25-MEN,0.8446725658702897
handcrafted,MS-60,BraTS25-MET,0.8206530696065806
handcrafted,MS-60,BraTS25-SSA,0.775977021749397
handcrafted,MS-60,BrainMetShare,0.7072232385784801
handcrafted,MS-60,EPISURG,0.7273226069698876
handcrafted,MS-60,ISLES22,1.3398242177822757
handcrafted,MS-60,IXI,0.7899492217075383
handcrafted,MS-60,MS-60,0.0
handcrafted,MS-60,MSLesSeg,0.8923381123382053
handcrafted,MS-60,NFBS,0.9382750320898257
handcrafted,MS-60,NSK-GBM,1.8798817343846752
handcrafted,MS-60,OASIS-1,0.6866331760385606
handcrafted,MS-60,OASIS-2,0.91883046764223
handcrafted,MS-60,UMF-PD,0.9423387471990531
handcrafted,MS-60,UPENN-GBM,0.7932376358603113
handcrafted,MSLesSeg,3D-MR-MS,1.5614073052840984
handcrafted,MSLesSeg,BGSP,0.8796097927413311
handcrafted,MSLesSeg,BraTS25-MEN,0.4670391072361328
handcrafted,MSLesSeg,BraTS25-MET,0.7277448669772757
handcrafted,MSLesSeg,BraTS25-SSA,0.23776311381973225
handcrafted,MSLesSeg,BrainMetShare,0.3165321531861451
handcrafted,MSLesSeg,EPISURG,0.5950569494296811
handcrafted,MSLesSeg,ISLES22,1.2799773254392863
handcrafted,MSLesSeg,IXI,0.7906042910335551
handcrafted,MSLesSeg,MS-60,0.8923381123382053
handcrafted,MSLesSeg,MSLesSeg,0.0
handcrafted,MSLesSeg,NFBS,0.46639077531723033
handcrafted,MSLesSeg,NSK-GBM,1.938247676485662
handcrafted,MSLesSeg,OASIS-1,0.421387014871731
handcrafted,MSLesSeg,OASIS-2,0.886357457317127
handcrafted,MSLesSeg,UMF-PD,0.3517444907200205
handcrafted,MSLesSeg,UPENN-GBM,0.7472691342776377
handcrafted,NFBS,3D-MR-MS,1.5634614448540887
handcrafted,NFBS,BGSP,1.125418041733239
handcrafted,NFBS,BraTS25-MEN,0.6553003434583289
handcrafted,NFBS,BraTS25-MET,0.6749679030014932
handcrafted,NFBS,BraTS25-SSA,0.45552280734429246
handcrafted,NFBS,BrainMetShare,0.5020463524841996
handcrafted,NFBS,EPISURG,0.8394981962736908
handcrafted,NFBS,ISLES22,1.1834947334813641
handcrafted,NFBS,IXI,1.0143074369572478
handcrafted,NFBS,MS-60,0.9382750320898257
handcrafted,NFBS,MSLesSeg,0.46639077531723033
handcrafted,NFBS,NFBS,0.0
handcrafted,NFBS,NSK-GBM,1.91944668201727
handcrafted,NFBS,OASIS-1,0.49935759307259464
handcrafted,NFBS,OASIS-2,1.1292329518072293
handcrafted,NFBS,UMF-PD,0.6241614763791566
handcrafted,NFBS,UPENN-GBM,1.041563254593366
handcrafted,NSK-GBM,3D-MR-MS,1.6743450530794528
handcrafted,NSK-GBM,BGSP,2.174823866258345
handcrafted,NSK-GBM,BraTS25-MEN,1.7132307637014366
handcrafted,NSK-GBM,BraTS25-MET,1.4912205338984985
handcrafted,NSK-GBM,BraTS25-SSA,1.9002027168715925
handcrafted,NSK-GBM,BrainMetShare,1.8174273486221635
handcrafted,NSK-GBM,EPISURG,1.73818307609539
handcrafted,NSK-GBM,ISLES22,1.743224179158678
handcrafted,NSK-GBM,IXI,1.8305590018056883
handcrafted,NSK-GBM,MS-60,1.8798817343846752
handcrafted,NSK-GBM,MSLesSeg,1.938247676485662
