representation,factor,n,n_classes,chance,balanced_acc,balanced_acc_sd,macro_auc,null_mean,null_p95,p_value
brainiac,template space,4167,4,0.25,0.9047819405712526,0.0136157273871967,0.977518500797816,0.2515065252659716,0.2709655556976441,0.0
brainiac,intensity scale,4167,3,0.3333333333333333,0.6795327931591297,0.0146230714423505,0.8527769306402242,0.3343994288371313,0.3472882169426446,0.0
brainiac,bias field,4167,3,0.3333333333333333,0.8861704115221856,0.009159995487635,0.975267117455944,0.3342182903431434,0.349203636593085,0.0
brainiac,motion/ghosting (EFC),4167,3,0.3333333333333333,0.8465772081686385,0.014228695408977,0.9550123014678716,0.3350654157477594,0.3501924160774677,0.0
brainiac,site (IXI only),300,3,0.3333333333333333,0.8602469135802469,0.0429047427289324,0.9526849128540305,0.3289356919974964,0.3875407946499883,0.0
brainiac,dataset,4167,17,0.0588235294117647,0.8423971952921898,0.0200072451214792,0.987655662351366,0.0598929527166763,0.0683861782731647,0.0
3dino,modality (no PD),4067,4,0.25,0.9534611987797996,0.0072097453831867,0.9961656432891782,0.2499992108435645,0.2658253808360871,0.0
3dino,orientation,4167,9,0.1111111111111111,0.8897453960902644,0.04316930876679,0.993271008046881,0.1136219997440879,0.1268657793038493,0.0
3dino,voxel spacing,4167,3,0.3333333333333333,0.8902071789318174,0.0240459165380929,0.9796738313380912,0.333404241915458,0.3567806650469686,0.0
3dino,template space,4167,4,0.25,0.962805463952904,0.005193743508924,0.9940123699108736,0.2501852028605703,0.2650280658684694,0.0
3dino,intensity scale,4167,3,0.3333333333333333,0.7607389352159696,0.0183456217775193,0.9103697810977188,0.3351627429681092,0.3484331994595829,0.0
3dino,bias field,4167,3,0.3333333333333333,0.9400029207383418,0.008241832641449,0.9916198020046229,0.3334219656255168,0.3475015495177761,0.0
3dino,motion/ghosting (EFC),4167,3,0.3333333333333333,0.9156040585540705,0.0085225352442247,0.9849246661957493,0.3344857698113566,0.3494218899510417,0.0
3dino,site (IXI only),300,3,0.3333333333333333,1.0,0.0,1.0,0.3348553640934645,0.4017079309556804,0.0
3dino,dataset,4167,17,0.0588235294117647,0.9490522875816992,0.0053639388410608,0.9967566231692444,0.0597138063359724,0.0671849644058954,0.0
brainfm,modality (no PD),4067,4,0.25,0.8925556877942532,0.0117801308029526,0.9740342517961392,0.2515638025663784,0.2673101571005984,0.0
brainfm,orientation,4167,9,0.1111111111111111,0.8478487049966934,0.0412211211525836,0.9748737635954516,0.1132143329716168,0.1296458989080335,0.0
brainfm,voxel spacing,4167,3,0.3333333333333333,0.9180197355127516,0.0176133040980663,0.980766786929278,0.3342205979969572,0.354112918537772,0.0
brainfm,template space,4167,4,0.25,0.962179015603622,0.0096924994604141,0.9925162338447848,0.2520903894093175,0.2697910839271696,0.0
brainfm,intensity scale,4167,3,0.3333333333333333,0.7374547280643973,0.0162755245965783,0.893117863380409,0.3356855450557775,0.3487619127505178,0.0
brainfm,bias field,4167,3,0.3333333333333333,0.8651308162998216,0.0131661984195324,0.9527395868966304,0.3340801881728026,0.3479519485507885,0.0
brainfm,motion/ghosting (EFC),4167,3,0.3333333333333333,0.8783401983303177,0.0090323008859344,0.9608182578623145,0.3340693946568106,0.3465138927488577,0.0
brainfm,site (IXI only),300,3,0.3333333333333333,0.9219753086419752,0.0430749215263633,0.969166545630598,0.3389694653960414,0.3918446266750161,0.0
brainfm,dataset,4167,17,0.0588235294117647,0.9292613234298652,0.0076761537254926,0.991530111674928,0.0596610423766864,0.066900985948018,0.0
3dino_rand,modality (no PD),4067,4,0.25,0.7569527878463788,0.0100026097510257,0.9309950165872836,0.2508581946677762,0.26568953189273,0.0
3dino_rand,orientation,4167,9,0.1111111111111111,0.7388801470906368,0.0100338676312767,0.9407005944408572,0.1122980328532681,0.1251859714840841,0.0
3dino_rand,voxel spacing,4167,3,0.3333333333333333,0.7522098215459774,0.0241262661610329,0.9106918964951588,0.3331078393141032,0.3522939238347973,0.0
3dino_rand,template space,4167,4,0.25,0.8942286049311153,0.0072210162943403,0.973299970295255,0.2534356545881233,0.271334955557651,0.0
3dino_rand,intensity scale,4167,3,0.3333333333333333,0.6385947024376539,0.014789729980873,0.8210086746370081,0.3326250148712252,0.3461615875253043,0.0
3dino_rand,bias field,4167,3,0.3333333333333333,0.7552948705047451,0.0107725976863346,0.9040948464258504,0.3336642254449281,0.346817082545362,0.0
3dino_rand,motion/ghosting (EFC),4167,3,0.3333333333333333,0.765211935623402,0.0123271750193734,0.9111237791876962,0.3337959977099226,0.3501479788533693,0.0
3dino_rand,site (IXI only),300,3,0.3333333333333333,0.8060493827160493,0.0626771532927784,0.9224138223190512,0.3402950060964242,0.4046841981457839,0.0
3dino_rand,dataset,4167,17,0.0588235294117647,0.7899199235536705,0.0146265441649053,0.9769819279934664,0.0592591053870844,0.0664870475138853,0.0
3dino_z,modality (no PD),4067,4,0.25,0.9201932701419936,0.0125465812977362,0.9886753480517162,0.2512557850624046,0.2688806398403898,0.0
3dino_z,orientation,4167,9,0.1111111111111111,0.8913199998691729,0.0446748821406124,0.9792859793758188,0.1138763428569565,0.1266342746877186,0.0
3dino_z,voxel spacing,4167,3,0.3333333333333333,0.8841138067052796,0.0202412190677366,0.980494810983812,0.3358722155698343,0.3548296107715682,0.0
3dino_z,template space,4167,4,0.25,0.9547690290962788,0.0088055421194779,0.9926429894913852,0.2495566889128108,0.2695169238521706,0.0
3dino_z,intensity scale,4167,3,0.3333333333333333,0.7499489698253431,0.019069031028725,0.9019126703688296,0.3348273466249455,0.3484713850522947,0.0
3dino_z,bias field,4167,3,0.3333333333333333,0.9330380810060231,0.006119462515066,0.99015779164779,0.3343741023353682,0.3502586539606164,0.0
3dino_z,motion/ghosting (EFC),4167,3,0.3333333333333333,0.9016885380196544,0.0057205995155719,0.98088710017061,0.3335776142299264,0.3479595145599279,0.0
3dino_z,site (IXI only),300,3,0.3333333333333333,0.9962962962962963,0.0056575008579701,1.0,0.3368262142259222,0.3889696484951085,0.0
3dino_z,dataset,4167,17,0.0588235294117647,0.9405996553448336,0.007578195935641,0.9951968218855236,0.0596217564237239,0.0663051554803945,0.0
untrained_pct,modality (no PD),4067,4,0.25,0.906261236104988,0.011210172393577284,0.984662605349398,0.25183826657794134,0.2680426263867857,0.0
untrained_pct,orientation,4167,9,0.1111111111111111,0.9024985537227503,0.051947880001481476,0.9923059905773784,0.11374869782988839,0.13322609577763708,0.0
untrained_pct,voxel spacing,4167,3,0.3333333333333333,0.8960796326272722,0.01921601129645419,0.9806305574472962,0.33593095073026896,0.35964249162883644,0.0
untrained_pct,template space,4167,4,0.25,0.9553853111404477,0.009334885772725211,0.9913685647981016,0.25101347263307666,0.26587541289874955,0.0
untrained_pct,intensity scale,4167,3,0.3333333333333333,0.7431362292126108,0.014853189849918569,0.8992632820503744,0.33561934082638395,0.3525601406880732,0.0
untrained_pct,bias field,4167,3,0.3333333333333333,0.8884905977369936,0.009207260123757438,0.9709050253175544,0.33369735702159226,0.3487374626068861,0.0
untrained_pct,motion/ghosting (EFC),4167,3,0.3333333333333333,0.8963244455611061,0.008119267071140045,0.9758060279951717,0.3343064810943874,0.3491727074731469,0.0
untrained_pct,site (IXI only),300,3,0.3333333333333333,0.9887654320987654,0.01313756601918322,0.9998127572016461,0.3305976204468355,0.3708614826744019,0.0
untrained_pct,dataset,4167,17,0.058823529411764705,0.9447739000025167,0.00866264383939539,0.9951239585279167,0.059943878976435806,0.06738471786577048,0.0
medical_pct,modality (no PD),4067,4,0.25,0.9026851253398654,0.009177134619109937,0.9839665538880733,0.25050927676319124,0.26623577307528706,0.0
medical_pct,orientation,4167,9,0.1111111111111111,0.8810188411027926,0.041039696150042805,0.96793904067799,0.11272687259004584,0.12612676906340206,0.0
medical_pct,voxel spacing,4167,3,0.3333333333333333,0.8897588342780479,0.02356746964848813,0.9805084888304813,0.33475104349964674,0.35084029626911656,0.0
medical_pct,template space,4167,4,0.25,0.9550263107956479,0.007813716693963755,0.9921374021699311,0.2507518695333601,0.2716001466359507,0.0
medical_pct,intensity scale,4167,3,0.3333333333333333,0.7329759840278083,0.018228181815435424,0.8915310505720464,0.33457254630275424,0.3475360805106959,0.0
medical_pct,bias field,4167,3,0.3333333333333333,0.8845619078149485,0.013503574497279638,0.9695132130108457,0.3340563735802064,0.3475688058927521,0.0
medical_pct,motion/ghosting (EFC),4167,3,0.3333333333333333,0.9055381265940757,0.008237699584399181,0.9790046161755155,0.33448386602146835,0.34872902286043717,0.0
medical_pct,site (IXI only),300,3,0.3333333333333333,0.9806172839506171,0.01096335223421896,0.9983389917695472,0.32899677721726894,0.3756500231689878,0.0
medical_pct,dataset,4167,17,0.058823529411764705,0.9382261870946322,0.008685682689444285,0.99542430000075,0.05910657425369906,0.06541573807776674,0.0
