condition,dataset_purity,modality_purity,representation
before,0.894816414686825,0.8163997096256747,handcrafted
after,0.7713222942164627,0.77677659130204,handcrafted
before,0.8971682265418767,0.8709045121203961,untrained
after,0.8932805375569954,0.8687072878491616,untrained
before,0.8749940004799616,0.8386017344401904,medical
after,0.8712742980561555,0.8391971188934552,medical
before,0.8604991600671947,0.8612195136230051,selfsup
after,0.8538516918646508,0.8580640345639117,selfsup
