factor,handcrafted,untrained,medical,selfsup
bias field,0.09301491545970252,0.015111143000372501,0.015179981502878978,0.013580836392970305
dataset,0.32010833776413633,0.11551254353807597,0.11313078501460544,0.0833252531756527
intensity scale,0.06735251349554341,0.009234587488610453,0.009524214980824196,0.00773968697323043
modality (no PD),0.04645473570853156,0.017414247764313474,0.016155517492328842,0.012850648445822403
motion/ghosting (EFC),0.09528074602041418,0.015843519090751042,0.01856441187745601,0.014444156790606219
orientation,0.11391811236527712,0.05350413105318244,0.05298636440466776,0.04333835980060693
site (IXI only),0.29800812412711913,0.0968880877017182,0.10574360592322116,0.052355072083877185
template space,0.04002725975341504,0.024699600814124725,0.023998777263743682,0.018166075272755645
voxel spacing,0.11512854986592387,0.012034387447718207,0.011480642475030787,0.008837983253094721
