threshold,dims_removed,dataset_after,modality_after,lodo_after,lodo_before
0.03,3,0.8873864185213289,0.8098767552861579,0.42713191010547497,0.5332334280599108
0.05,6,0.869307858594943,0.7956798432160823,0.39264900073232223,0.5332334280599108
0.08,9,0.7287070099314346,0.7494682195748101,0.5117062121674698,0.5332334280599108
0.15,29,0.5234526828196905,0.6641293402763075,0.43228244040810726,0.5332334280599108
