condition,dataset_purity,modality_purity,representation
before,0.894816414686825,0.8163997096256747,handcrafted
after,0.8627309815214783,0.7771943488003498,handcrafted
before,0.8971682265418767,0.8709045121203961,untrained
after,0.5187664986801056,0.6240135468989662,untrained
before,0.8749940004799616,0.8386017344401904,medical
after,0.3442044636429086,0.5121873304686189,medical
before,0.8604991600671947,0.8612195136230051,selfsup
after,0.4845212383009359,0.6210758485838398,selfsup
