representation,task,setting,dataset,n,bacc,mae,mae_mean_baseline,pearson_r
handcrafted,sex,lodo,3D-MR-MS,120,0.5209627329192547,,,
handcrafted,sex,lodo,ISLES22,144,0.478125,,,
handcrafted,sex,lodo,IXI,294,0.5605263157894738,,,
handcrafted,sex,lodo,MS-60,177,0.4947045707915273,,,
handcrafted,sex,lodo,MSLesSeg,300,0.5125,,,
handcrafted,sex,lodo,NSK-GBM,168,0.5,,,
handcrafted,sex,lodo,OASIS-1,300,0.5092558651026393,,,
handcrafted,sex,lodo,OASIS-2,301,0.5,,,
handcrafted,sex,lodo,UMF-PD,82,0.5,,,
handcrafted,sex,lodo,UPENN-GBM,300,0.5513392857142857,,,
handcrafted,sex,within,3D-MR-MS,120,0.6770186335403727,,,
handcrafted,sex,within,ISLES22,144,0.7828125,,,
handcrafted,sex,within,IXI,294,0.8070175438596492,,,
handcrafted,sex,within,MS-60,177,0.6686176142697882,,,
handcrafted,sex,within,MSLesSeg,300,0.5138888888888888,,,
handcrafted,sex,within,NSK-GBM,168,0.7620137299771168,,,
handcrafted,sex,within,OASIS-1,300,0.8511730205278593,,,
handcrafted,sex,within,OASIS-2,301,0.8548951048951049,,,
handcrafted,sex,within,UMF-PD,82,0.8791866028708134,,,
handcrafted,sex,within,UPENN-GBM,300,0.7758928571428572,,,
handcrafted,age,lodo,3D-MR-MS,120,,48.77585738525527,16.442716097560975,0.004905294427828404
handcrafted,age,lodo,ISLES22,125,,48.829365105690684,21.12385901222495,0.03766912556203604
handcrafted,age,lodo,IXI,294,,19.87310347260578,13.788053609503503,0.23881152863640004
handcrafted,age,lodo,MS-60,180,,14.212677438470031,22.97570083752093,-0.01569390440907815
handcrafted,age,lodo,MSLesSeg,300,,23.11619819724463,20.821301604278077,-0.06597038612343897
handcrafted,age,lodo,NSK-GBM,168,,44.54761904761905,12.01483326197612,
handcrafted,age,lodo,OASIS-1,300,,22.547336364536385,23.246006559714793,0.3471881469497443
handcrafted,age,lodo,OASIS-2,301,,19.946399096991104,27.83769731357398,-0.06904475407261797
handcrafted,age,lodo,UMF-PD,82,,18.075987631157986,13.804784365947102,-0.0654678626023686
handcrafted,age,lodo,UPENN-GBM,300,,13.710249615378999,11.930164848484852,0.151677385550583
handcrafted,age,within,3D-MR-MS,120,,8.400596746236793,7.563888888888889,-0.08163394934955022
